source,target
249517605,225267736
249517605,228208334
249517605,228369422
249517605,228832818
249517605,229454880
249517605,230132436
249517605,230791143
249517605,230796876
249517605,230887228
249517605,231528074
249517605,231689140
249517605,232287849
249517605,234592300
249517605,235662350
249517605,238361138
249517605,239468052
249517605,239519575
249517605,242015347
249517605,246619461
249517605,246646168
249517605,246704384
249517605,246714081
249517605,247021444
249517605,247094058
249517605,247155925
249517605,247343534
249517605,248011789
249517605,248101721
249517605,248299184
249517605,248345599
249517605,248365647
249517605,248503706
249517605,248584290
249517605,248680452
249517605,248690799
249517605,248735941
249517605,248751507
249517605,248815657
249517605,248936103
249517605,248974781
249517605,248991163
249517605,249074102
249517605,249189515
249517605,249229346
249517605,249297633
249517605,249307708
249517605,249416744
249517605,249493144
249517605,249613315
249517605,249625010
249517605,249724886
249517605,249807139
249517605,250024556
249517605,250063763
249517605,250093469
249517605,250117907
249517605,250119367
249517605,250119704
249517605,250515392
249517605,250563122
249517605,250596072
249517605,251827083
249517605,252115834
249517605,252686166
249517605,252788470
249517605,252798943
249517605,252838430
249517605,252962978
249517605,254129191
249517605,254666319
249517605,254746649
249517605,255024896
249517605,255134445
249517605,255795319
249517605,255864537
249517605,256003989
249517605,256116266
249517605,256144571
249517605,256161491
249517605,256412698
249517605,256552709
249517605,257144306
249517605,257743981
249517605,258320315
249517605,258321585
249517605,259477513
249517605,259837959
249517605,260426300
249517605,260468552
249517605,261238570
249517605,262894289
249517605,263141456
249517605,263552533
249517605,264939792
249517605,265074229
249517605,269687407
249517605,269891958
249517605,270071487
249517605,270904332
249517605,279704057
249517605,283532605
249517605,285654036
249517605,298384831
249517605,300278917
249517605,330251182
249517605,454340419
321751214,248863097
232287849,221514514
232287849,222702331
232287849,228369422
232287849,228821838
232287849,228832818
232287849,229454880
232287849,229695214
232287849,230132436
232287849,230285081
232287849,230791143
232287849,230796876
232287849,230887228
232287849,231045185
232287849,231528074
232287849,231689140
232287849,232046980
232287849,232420974
232287849,234592300
232287849,235521405
232287849,235618205
232287849,236187380
232287849,236550196
232287849,236733353
232287849,241476604
232287849,242015347
232287849,242795930
232287849,244738337
232287849,247094058
232287849,247969870
232287849,248503706
232287849,248584290
232287849,248735941
232287849,248751507
232287849,249189515
232287849,249493144
232287849,249517605
232287849,249613315
232287849,250596072
232287849,253246330
232287849,255357012
232287849,255795319
232287849,255864537
232287849,255951579
232287849,256362274
232287849,262894289
232287849,284361340
232287849,285654036
232287849,292278108
232287849,298384831
232287849,330251182
278370238,234141046
278370238,239244883
278370238,244202951
278370238,246770806
278370238,249288832
278370238,250030329
278370238,251962031
278370238,252115834
278370238,255795319
278370238,260738787
278370238,262894289
278370238,263552533
278370238,267221723
278370238,269434628
278370238,270904332
278370238,271013185
278370238,273907217
278370238,279704057
278370238,282768986
278370238,283532605
278370238,284738893
278370238,285876252
278370238,300799382
278370238,401297448
251800111,229650908
251800111,239468052
251800111,240254169
251800111,242375305
251800111,243510131
251800111,246669723
251800111,247050698
251800111,247058280
251800111,247532272
251800111,247687396
251800111,247692986
251800111,247741752
251800111,247782984
251800111,247905511
251800111,248303022
251800111,248509168
251800111,248807234
251800111,248863097
251800111,249070192
251800111,249304244
251800111,249316351
251800111,249427326
251800111,249619595
251800111,249666963
251800111,249684994
251800111,249903950
251800111,250119367
251800111,250371403
251800111,250420736
251800111,250571688
251800111,250796390
251800111,250913993
251800111,251166081
251800111,251929231
251800111,252471555
251800111,253171910
251800111,253346194
251800111,253491194
251800111,253530862
251800111,254273384
251800111,254797371
251800111,255185735
251800111,255810430
251800111,255962548
251800111,256728512
251800111,257246158
251800111,257627870
251800111,262378882
251800111,264090930
251800111,264338047
251800111,269289131
251800111,270275677
251800111,272212762
251800111,308021024
251800111,511637278
248011789,228832818
248011789,230791143
248011789,234592300
248011789,242015347
248011789,246646168
248011789,247021444
248011789,247094058
248011789,247155925
248011789,247379245
248011789,247695944
248011789,247969870
248011789,248020834
248011789,248461834
248011789,248503706
248011789,248584290
248011789,248641773
248011789,248641775
248011789,248680452
248011789,248690799
248011789,248697665
248011789,248751507
248011789,248815657
248011789,248934946
248011789,248936103
248011789,248974781
248011789,248992475
248011789,249001355
248011789,249064584
248011789,249189515
248011789,249229346
